#separator:tab
#html:false
abound		exist in large numbers or amounts.	1) a business in which opportunities abound   2) errors and inconsistencies abound	proliferate, plentiful, copious, ample, brim, bristle, bulge, burst, bustle, buzz, crawl, hum,
retaliate	In game theory, a Tit-or-Tat will always fight back: they replicate the opponent's previous move	to make an attack or assault in return for a similar attack.	The company decided to retaliate against the competitor's unfair practices.	revenge oneself, fight back, strike back, hit back, respond, react, reply, reciprocate, counterattack
rhapsody		an enthusiastic or ecstatic expression of feeling in speech or writing, or a piece of music of irregular form.	The composer’s latest work is a rhapsody that captures the grandeur of the landscape.	euphoria, ecstasy, enthusiasm, joy
shirk	Looks like shark. The aquarist avoids feeding sharks though it's his duty.	To avoid or neglect a duty or responsibility.	He was caught trying to shirk his responsibilities during the project.	evade, dodge, avoid, sidestep, shuffle off, run away from, shrink from, shun, skip, miss,
sinecure	A sinecare is a job that you can do without care.	a position requiring little or no work but giving the holder status or financial benefit.	Connie's job was a sinecure that could be done by anyone.	easy job, soft option
sinuous	Sine curve follows a winding path along the x-coordinate	Having many curves and turns; lithe and supple.	The snake moved in a sinuous pattern through the grass, making it hard to follow.	winding, windy, serpentine, curving, twisting, meandering, snaking, snaky, zigzag, zigzagging, turning, bending, curling, coiling, undulating;
sordid	As a gangster, he solely did dirty and despicable deeds	involving ignoble actions and motives; arousing moral distaste and contemptdirty or squalid.	The sordid details of the scandal were shocking to the public.the overcrowded housing conditions were sordid and degrading.	sleazy, seedy, seamy, shoddy, vile, foul, tawdry, louche, base, debased, degenerate, corrupt, dishonest, dishonorable, disreputable, despicable, discreditable, contemptible, ignominious, ignoble, shameful, wretched, abhorrent, abominable
stanch (staunch)	While on diet, I restrict my intake of starch	1. to stop or restrict (a flow of blood) from a wound;  2. loyal / stalwart	The nurse quickly stanched the wound with a clean bandage. They’re staunch supporters of Donald Trump.	block, stop, halt, stem, curb, repress, suppress, turn back, rein (in), squelch, discontinue, suspend, impede
surfeit	We assume the Earth's surface has a surplus of resources for everyone, so we stuffed ourselves, yet we always want more.	an excessive amount of something; overindulgence.cause (someone) to desire no more of something as a result of having consumed or done it to excess	The party had such a surfeit of food that many guests went home with leftovers.We'll all be surfeited with food and fuddled with wine.	excess, surplus, abundance, oversupply, superabundance, superfluity, overdose, glut, avalanche, deluge satiate, gorge, overfeed, overfill, glut, cram, stuff, overindulge, fill
ulterior	ultra interior = hidden deep inside	existing beyond what is obvious or admitted; intentionally hidden.beyond what is immediate or present; coming in the future:	His ulterior motives for helping her were not immediately apparent.ulterior pay promised to the mariners	underlying, undisclosed, undivulged, unexpressed, unapparent, under wraps, unrevealed, concealed, hidden, covert, secret
voluble	"Her loud ""volume"" and many dialogue bubbles make her the most talkative character in the comic."	(of a person) talking fluently, readily, or incessantly(of speech) characterized by fluency and readiness of utterance	She was voluble and kept the conversation flowing throughout the evening.It is an excited and voluble discussion at the conference	talkative, loquacious, garrulous, fluent.
abstruse	Looks like abs-truce. Abs workouts are hard to truce with because they are difficult to understand	difficult to understand; obscure.	The teacher's explanation was so abstruse that only a few students understood it.	obscure, arcane, esoteric, enigmatic, complex
auxiliary	Looks like aux-ill-ary. Aux cords are ill as supplementary tools, but they help when the main sound system fails.	providing supplementary or additional help.	The company hired auxiliary staff during the busy season.	additional, supplementary, secondary, supporting
caricature	Looks like car-picture. The children's car pictures are usually exaggeration they see in cartoons.	a picture, description, or imitation of a person in which certain striking characteristics are exaggerated.	The caricature in the newspaper exaggerated the politician's features.	parody, satire, cartoon, distortion, exaggeration
depravity	Looks like deep-poverty. Deep poverty is the result of government corruption and the officials' wickedness	moral corruption; wickedness.	The novel depicted a world filled with depravity and despair.	corruption, vice, degeneracy, immorality, wickedness
dilettante	From Italian dilettare (to delight). He enjoyed diluting his time across hobbies, but his efforts were amateur at best.	a person who cultivates an area of interest without real commitment or knowledge.	He was seen as a dilettante, dabbling in art without any real expertise.	amateur, nonprofessional, dabbler, novice, pretender
effrontery	"Comes from Latin ""ex"" (out of) + ""frons"" (forehead, brow). He has the effrontery to boldly front up to their boss, showing insolence with a raised brow."	insolent or impertinent behavior.	His effrontery was shocking	impudence, audacity, nerve, cheek, gall
encroach	Looks like ENClose-cockROACH. The cockroach began to enclose itself in my room, intruding into every corner.	to gradually move or go into an area that is beyond the usual or desired limits.	The fence was there to prevent neighbors from encroaching on our property.	infringe, invade, intrude, trespass, overstep
endow	Looks like in-dowry. To endow means to invest in their future with dowry, providing them with resources.	1. to provide with a quality, ability, or asset  2. to give or bequeath an income or property to a person or institution.	She was endowed with a sharp mind and an inheritance from her grandmother.	bestow, give, bequeath, donate, grant
entreat	Looks like en-treat. She entered the room to treat the king, begging for his forgiveness.	to ask someone earnestly or anxiously to do something.	He entreated his friend to stay, pleading with him to reconsider.	implore, beseech, beg, plead, appeal
gregarious	greg=flock/group. Greg is very sociable. He could flock from one group to another quickly.	1. fond of company; 2. (of animals) living in flocks or loosely organized communities	1. He was a popular and gregarious man. 2. Gregarious species forage in flocks from colonies or roosts.	sociable, social, companionable, convivial, clubbable, affable, amiable, genial, congenial, cordial
indictment	Comes from Latin in (towads) + dict (pronounce) + ment. The jury issues the verdict, dictating that the criminal receives formal charge.	a formal charge or accusation of a serious crime.	The indictment listed several serious charges against the defendant.	charge, accusation, allegation, arraignment, prosecution
indignant	"Comes from Latin in (not) + dignus (worthy, as in ""dignity""). He was furious for being wrongfully accused, as if he had no dignity like an ant."	feeling or showing anger or annoyance at what is perceived as unfair treatment.	He was indignant when accused of lying	resentful, disgruntled, offended, outraged, aggrieved
ineluctable	"From Latin in (not) + e (out) + luctari (struggle, as in ""reluctant""). In the end, even the most reluctant person realizes that some fates are inescapable."	unable to be resisted or avoided	Lee has the irritating habit of arguing his opinions as ineluctable facts	inescapable, inevitable, inexorable, sure, unavoidable, unpreventable
inquisitive	Children love to inquire about everything, being curious with no bounds.	having or showing an interest in learning things	Their inquisitive neighbors had gathered at the gate	curious, intrigued, interested, agog
latitude	He enjoyed such scope of freedom, like the wide latitude of a map.	scope for freedom of action or thought.	The professor gave the students latitude in choosing their essay topics.	freedom, scope, leeway, room, liberty
levity	"From Latin ""levitas"" (light, as in ""levitate"").  During the serious meeting, he made a light comment, trying to levitate the mood with his levity."	humor or frivolity, especially the treatment of a serious matter with humor.	His levity during the funeral was inappropriate and shocked many.	frivolity, flippancy, humor, cheerfulness, light-heartedness
malevolent	Comes from male ‘ill’ + volent ‘wishing’. These male species are so violent that they always have evil plans.	having or showing a wish to do evil to others.	The malevolent look in his eyes made everyone uneasy.	malicious, hostile, evil, wicked, spiteful
mediate	She tried to mediate the conflict as though meditating on peace.	to intervene between people in a dispute to bring about an agreement.	She mediated between the two sides, hoping to find common ground.	arbitrate, intervene, negotiate, moderate, resolve
occlude	Looks like ox + include. The ox excludes any light from entering the barn by blocking the doorway.	to stop, close up, or obstruct an opening, orifice, or passage.	The surgeon worked quickly to occlude the blood vessel and stop the bleeding.	block, obstruct, close, clog, seal
pacify	The mother pacified her crying child by giving her a pie, effectively soothing her.	to calm the anger, agitation, or excitement of.	The mother tried to pacify her crying baby with a lullaby.	soothe, calm, appease, placate, mollify
paragon	Looks like para-gon. The paramedic was considered a gone to all, an epitome of selflessness.	a person or thing regarded as a perfect example of a particular quality.	He is a paragon of virtue, admired by all who know him.	model, epitome, exemplar, ideal, standard
patronize	The wealthy patron regularly buy local artists' works, but his support felt condescending.	to treat with an apparent kindness that betrays a feeling of superiority.	They patronized the small bookstore, though their compliments felt insincere.	condescend, deign, humiliate, talk down to, disparage
penurious	From Latin penuria (need). Since the man was in dire need, he counted every penny and was extremely parsimonious with what to buy.	extremely poor parsimonious, mean	Her father's untimely death put the family in a penurious situation He lived in a most penurious manner--denying himself every indulgence	poor, poverty-stricken, destitute, necessitous, in penury (= in need), impecunious, impoverished miserly, parsimonious, ungenerous, penny-pinching
piquant	From French piquer (pricking). The chef added a pinch of spices to make the dish spicy and pricking.	having a pleasantly sharp taste or appetizing flavor.	The piquant aroma of the dish made everyone's mouth water.	spicy, tangy, zesty, flavorful, lively
rampant	The ramp led to a jungle where wild growth was unchecked, ideal for rampaging wildfire in hot summers.	flourishing or spreading unchecked.	This is an area where poverty and disease are rampant	widespread, uncontrolled, unchecked, unrestrained, rife
remote	"Related to ""removed"". The cabin was so isolated it felt removed from the world."	situated far from the main centers of population
reprobate	"Comes from re (not) + probare (approve, as in ""approbation""). The rascal was disapproved for his immorality."	an unprincipled person (often used humorously or affectionately)	The reprobate continued his life of crime, showing no remorse.a long-missed old reprobate drinking comrade.	rogue, rascal, scoundrel, good-for-nothing, villain, wretch
turbid	"Same ""turb"" in ""disturb"" or ""turbulent"". The river water is muddy after the storm, like her being muddled after being rejected. Both are disturbing."	1. cloudy, opaque, or thick with suspended matter.; 2. confused or obscure in meaning or effect	The turbid water made it impossible to see the bottom of the river.	1. murky, muddy, cloudy, unclear, opaque; 2. confused, muddled
turgid	Breaks down to tur-gid (turkey rigid). The turkey was so rigid after being stuffed that it looked inflated.	swollen and distended or congested. (of language or style) tediously pompous or bombastic	The author's turgid prose made the novel difficult to read.	bombastic, pompous, overblown, inflated, pretentious
vacuous	"Same Latin root ""vacare"" (empty) as ""vacuum, vacant"". His expression was as empty as a vacuum, showing no signs of thought."	having or showing a lack of thought or intelligence	Campaign slogans are notoriously vacuous	blank, vacant, expressionless, deadpan, inscrutable, inexpressive, poker-faced, emotionless
affluent	Sounds like a-flew. If a man flew to a new country every week, he was wealthy.	having a great deal of money; wealthy.	The affluent family donated generously to the charity.	wealthy, rich, prosperous, well-off, well-to-do
allegorical	From Greek allo- (other) + -agoria (speaking). The politicians often speak of one thing while suggesting another, a hidden meaning.	constituting or containing allegory (a hidden meaning, typically a moral or political one)	The novel is an allegorical critique of modern society.	symbolic, metaphorical, representative, figurative, emblematic
allude	Sounds like a-loot. To help you find a loot, the NPC hints at the bush.	to suggest or call attention to indirectly; hint at.	He alluded to the possibility of a future partnership.	hint, imply, suggest, refer, insinuate
amplify	ample + fy. To amplify the sound, the speaker added ample bass, making the music louder.	to make something more intense or stronger.	The sound was amplified by the speaker system.	intensify, heighten, increase, boost, strengthen
catastrophic	The earthquake was a catastrophe, truly catastrophic in its impact.	involving or causing sudden great damage or suffering.	The hurricane had catastrophic effects on the coastal city.	disastrous, calamitous, catastrophic, tragic, ruinous
conundrum	Looks like co-nun-drum. How to deal with convicted nun's drums remains a problem for the church.	a confusing and difficult problem or question.	The conundrum left everyone scratching their heads.	puzzle, riddle, enigma, problem, quandary
defame	de (less) + fame. He tried to demage her fame with false rumors. It's slander	to damage the good reputation of someone; slander.	The media tried to defame him with false accusations.	slander, libel, malign, smear, vilify
detract	de (less) + traction. The critics' comments diminsh the movie's success, taking the traction away.	to reduce or take away the worth or value of.	The flaws did not detract from the overall beauty of the painting.	diminish, reduce, lessen, devalue, belittle
detrimental	His actions were detrimental, like pouring acid on the environment.	tending to cause harm.	Smoking is detrimental to your health.	harmful, damaging, injurious, destructive, hurtful
devious	"Related to ""devil"". His devious plans were like a devil hiding in plain sight—deceitful."	showing a skillful use of underhanded tactics to achieve goals.	His devious tactics earned him a reputation as untrustworthy.	dishonest, deceitful, underhanded, sly, cunning
dormant	From Latin dormire (sleep). The dorm was quiet as if all students were asleep, like an inactive volcano.	having normal physical functions suspended or slowed down for a period of time; in or as if in a deep sleep.	The seeds remain dormant until the spring.	inactive, inert, latent, quiescent, asleep
draconian	Looks like dragons. Dragons impose severe penalties on anyone stealing their treasure.	excessively harsh and severe.	The draconian measures were widely criticized for their severity.	harsh, severe, strict, stringent, authoritarian
egalitarian	"Related to ""equal"". He believed in egalitarian principles, where equal rights were key."	believing in or based on the principle that all people are equal and deserve equal rights and opportunities.	She is a strong advocate for egalitarian policies.	equal, fair, just, equitable, impartial
elusive	Looks like illusion. The elusive thief was like an illusion, impossible to catch.	difficult to find, catch, or achieve.difficult to remember or recall	he tried to reach her by telephone, but she continued to be elusivethe elusive thought he had had moments before.as usual she gave an elusive answer	evasive, slippery, shifty subtle, ambiguous, indefinable, intangible, impalpable, unanalyzable, fugitive, deceptive, baffling ambiguous, baffling, puzzling, misleading, evasive
erstwhile	Looks like erst (long ago) + while. The former king ruled a while ago.	former; of an earlier time.	His erstwhile friend turned against him.	former, previous, prior, past, earlier
gloat	Looks like good load. He couldn't help but boast about his good load of money.	to dwell on one's own success or another's misfortune with smugness or malignant pleasure.	He couldn't resist gloating over his rival's defeat.	boast, brag, show off, vaunt, crow
harrowing	Looks like h-arrow. Walking through a rain of arrows was agonizing to the newbie ninja.	acutely distressing or painful.	The survivors described the battle as a harrowing experience.	distressing, traumatic, terrifying, painful, agonizing
indefinite	in (not) + definite (defined end). The meeting time was uncertain, with no defined end in sight	lasting for an unknown or unstated length of time.	The project has been delayed for an indefinite period.	uncertain, undefined, vague, indefinite, unspecified
ingenious	Looks like in-genius. The inventor solution was so genius it seemed almost cleverly simple.	clever, original, and inventive.	Her ingenious invention revolutionized the industry.	clever, inventive, creative, innovative, resourceful
keen	He was keen to learn, with a mind as sharp as a knife.	having or showing eagerness or enthusiasm.	She showed a keen interest in learning about different cultures.	eager, enthusiastic, avid, sharp, intense
multifaceted	multi + facet (face, side). The project was multifaceted, requiring multiple faces to tackle its varied aspects.	having many different aspects or features.	The multifaceted problem required a complex solution.	complex, multifaceted, varied, diverse, manifold
omniscient	omni (all) + scient (knowing). He claimed to be omniscient, as if he had the knowledge of everything.	knowing everything.	The author wrote from an omniscient point of view.	all-knowing, all-seeing, omnipotent, wise, sagacious
remarkable	remark + able. Her remark during that presentation was so notable that it would be surprising if she performed worse.	worthy of attention; striking.	Her remarkable achievements earned her widespread recognition.	noteworthy, striking, exceptional, extraordinary, significant, surprising
sober		1. serious, sensible, and solemn.  2. not affected by alcohol; not drunk	The news of the accident brought everyone to a sober reality, sobering them up with seriousness.	1. serious, solemn, sober, grave, subdued  2. not drunk, not intoxicated, clearheaded
stem from	stem = root. The problem originated from a small mistake, but growing like the stem of a plant.	to originate from or be caused by.	The problem stemmed from a misunderstanding.	originate, arise, derive, come from, spring
subdued	sub (below) + due (draw, bring) = quieten. The crowd was subdued by the police, the siren also subdued.	1. (of a person or their manner) quiet and rather reflective or depressed. 2. (of color or lighting) soft and restrained:	I felt strangely subdued as I drove home.The subdued lighting created a calm and peaceful ambiance.	muted, toned down, restrained, soft, subdued
token	The gift was a token of appreciation, like a symbol of gratitude.	a thing serving as a visible or tangible representation of a fact, quality, feeling, etc.	The medal was a token of his bravery.	symbol, sign, representation, emblem, indication
unravel	"Sounds similar to ""untangle"". He worked to reveal the mystery, like untangling a raveled ball of yarn."	to investigate and solve or explain something complicated or puzzling.	He managed to unravel the mystery behind the disappearance.	untangle, solve, decipher, disentangle, sort out
withstand	with (against) + stand. He could endure any pressure, like a tree that can stand against the wind.	to remain undamaged or unaffected by; to resist.	He could withstand the harshest conditions without complaint.	resist, endure, stand firm, weather, hold out
abrasive	From Latin ab (away) + radere (scrape). The sandpaper abraded the wood, making it feel rough and harsh to the touch.	(of a substance or material) capable of polishing or cleaning a hard surface by rubbing or grinding(of a person or manner) showing little concern for the feelings of others; harsh	The wood should be rubbed down with fine abrasive paperHis abrasive comments made everyone uncomfortable.	grinding, rubbing, polishing, coarse, caustic, harsh, mordant caustic, cutting, grating, biting, acerbic, vitriolic; rough, harsh, hard
artful	The thief was so artful that his tricks were like art in how clever they were.	Clever or skillful, typically in a crafty or cunning way.	She was artful in her negotiations, always finding a way to get what she wanted.	cunning, crafty, wily, sly, shrewd
avert	a (away) + vert (turn). He averted his eyes from the accident, turning away to avoid seeing it.	To turn away or aside.	He averted his gaze, not wanting to see the destruction.	prevent, avoid, turn aside, deflect, dodge
avid	An avid reader devours books with eagerness.	Having or showing a keen interest or enthusiasm for something.	She is an avid collector of vintage postcards.	eager, enthusiastic, passionate, fervent, ardent
brevity	"Related to ""brief."" The speech was as short as brief notes."	Concise and exact use of words in writing or speech.	The brevity of his speech left the audience wanting more.	conciseness, succinctness, terseness, pithiness, economy
bromide	Looks like bro-mine. The same old sayings goes “What’s my brother's is mine”	A trite and unoriginal idea or remark, typically intended to soothe or placate.	His speech was full of bromides that offered no real insight.	cliché, platitude, truism, banality, commonplace
circumstantial	circum (around) + stand + ial. The evidence was purely circumstantial, circling around the crime but never quite direct.	pointing indirectly towards someone's guilt but not conclusively proving it.	The circumstantial evidence wasn't enough to convict him.	indirect, circumstantial, incidental, inferred, suggestive
cloying	Looks like clogging. The cloying perfume was so sweet it felt like it was clogging the air.	Disgustingly sweet or sentimental.	The cloying sweetness of the dessert was too much for my taste.	sickly sweet, sugary, syrupy, saccharine, mawkish
counterfeit	counter (opposite) + feit (made). The bill was well made, but it was a fake one.	A fraudulent imitation of something else; a forgery.	The counterfeit money was so well-made it fooled the bank.	fake, fraudulent, phony, forged, sham
denigrate	Comes from de (completely) + nigrare (black). He tried to disparage his rival by attacking his Blackness and his dark past.	To criticize unfairly; to disparage.	He denigrated his opponent's character in an attempt to win the election.	belittle, defame, disparage, vilify, slander
disciple	"Related to ""discipline."" The disciple followed the teachings with discipline, faithfully adhering to every word."	A follower or student of a teacher, leader, or philosopher.	The disciple followed his master's teachings closely.	follower, adherent, supporter, devotee, pupil
extol	Looks like ex (express) + toll. The residents expressed their admiration and toll the bells to praise the hero’s victory.	To praise enthusiastically.	They extolled her virtues at the awards ceremony.	praise, laud, acclaim, commend, applaud
forebode	(=forewarn). The dark clouds forebode a coming storm	To act as a warning or indication of a future event.	The dark clouds forebode a stormy night.	foreshadow, predict, foretell, portend, augur
ideologue	The doctrinarie follows his ideology to a tee.	An uncompromising and dogmatic follower of an ideology.	The ideologue was unyielding in his beliefs.	doctrinaire, fanatic, zealot, partisan, propagandist
impediment	"Noun of ""impede."" The impediment in his speech was like a pedal impeding the flow."	A hindrance or obstruction in doing something.	His speech impediment made it difficult for him to communicate.	obstacle, barrier, hindrance, obstruction, block
imperative	It is imperative to follow the imperial orders without delay.	Of vital importance; crucial.	It is imperative that we finish this project on time.	essential, crucial, vital, necessary, urgent
impulsive	His impulsive spending was made on a pulse. It was so impetuous.	Acting or done without forethought.	Her impulsive purchase led to buyer's remorse.	spontaneous, hasty, rash, impetuous, unpremeditated
interminable	in (not) + terminate (end) + able. The meeting felt interminable, like it would never end.	Endless or seemingly endless.	The interminable meeting seemed like it would never end.	endless, perpetual, eternal, incessant, unending
intuitive	"Adj of ""intuition."""	Using or based on what one feels to be true even without conscious reasoning.	He had an intuitive understanding of how things worked.	instinctive, intuitive, spontaneous, innate, inherent
lassitude	From Latin lassus (tired). After carrying lassoed weights all day, the dude was overcome with lethargy.	A state of physical or mental weariness; lack of energy.	His lassitude was evident after the long hike.	weariness, fatigue, lethargy, exhaustion, tiredness
omit	Looks like oh-miss. Oh I missed this detail from the report, but I did not deliberately leave it out.	To leave out or exclude.	He omitted important details from his report.	exclude, leave out, miss, neglect, overlook
ornate	The ornate decorations were as elaborate as ornaments on a Christmas tree.	Elaborately or highly decorated.	The ornate design of the palace was breathtaking.	elaborate, decorated, embellished, fancy, intricate
paltry	Looks like pale-try. The sum he was offered felt like a pale try at compensation, meager.	Very small or meager.	The paltry reward was not worth the effort.	meager, insignificant, scanty, trivial, negligible
pejorative	"Comes from Latin ""pejor"" (worse). The pejorative remark was meant to make things worse–a clearly insulting comment"	Expressing contempt or disapproval.	Her pejorative comments made everyone uncomfortable.	disparaging, derogatory, denigratory, deprecatory, defamatory, slanderous, libelous, abusive, insulting, slighting, vituperative, disapproving
prefigure	pre (before) + figure (show). The early chapters foreshadow the novel's tragic ending; luckily I figure it out before it happens.	To be an early indication or version of something.	The early chapters prefigure the novel's tragic ending.	foreshadow, anticipate, predict, presage, portend
presage	pre (before) + sage (perceive).  The old saying forebodes future events, like sages predicting the future.	To be a sign or warning that something will happen.	The ominous clouds presage a storm.	foretell, predict, indicate, prophesy, herald
prescribe	The doctor prescribed the treatment as a script to be followed.	To advise and authorize the use of a medicine or treatment.	The doctor prescribed antibiotics for the infection.	order, direct, instruct, authorize, command
prevail	Comes from pre (before) + valere (have power). Good should triumph evil.	To prove more powerful than opposing forces; to be victorious.	Justice will prevail in the end.	triumph, succeed, overcome, conquer, dominate
propitiate	propitous (favorable) + ate. He tried to appease the angry gods to win their favor.	To win or regain the favor of (a god, spirit, or person) by doing something that pleases them.	The king sought to propitiate the gods with offerings.	appease, placate, pacify, mollify, conciliate
recapitulate	He recapitulated the main points, as though re-capturing the essence.	To summarize and state again the main points.	He recapitulated the main points of his argument.	summarize, recap, restate, reiterate, review
querulous	Looks like query loud. He queries loudly, complaining about every small issue	complaining in a petulant or whining manner	She became querulous and demanding	petulant, complaining, pettish, touchy, testy, tetchy, waspish, prickly, crusty, peppery, fractious, fretful, irritable
formidable	From Latin formidare (to fear). Looks like form-mid-able. Having the job form sent in the middle of the night could be intimidating to us.	inspiring fear or respect through being impressively large, powerful, intense, or capable	He's a formiddable opponent	intimidating, forbidding, redoubtable, daunting, alarming, frightening, terrifying, petrifying, horrifying, chilling
stealthy		behaving, done, or made in a cautious and surreptitious manner, so as not to be seen or heard	there was a good deal of stealthy coming and going within the building	furtive, secretive, secret, surreptitious, sneaking, sly, skulking, slinking, clandestine, hidden, covert,
sap	The long hours of work sapped his energy, draining him like a tree being slowly depleted of its sap.	gradually weaken or destroy (a person's strength or power)	our energy is being sapped by bureaucrats and politicians	erode, undermine, wear away, wear down, deplete, reduce, lessen, lower, attenuate, exhaust, impair, drain
incandescent	"From Latin in + candidus (white, as in ""candid""). The candle was glowing white, while the controversial debate made the candid participants inflamed."	emitting light as a result of being heatedfull of strong emotion; passionate	incandescent fragments of lavashe was incandescent at the way the IRS acted	white-hot, burning, fiery, blazing, ablaze, aflame; glowingfurious, enraged, raging, incensed, infuriated, fuming, inflamed, irate
taunt	Looks like t-aunt. At first, they teased their aunt, but the taunts grew more severe, turning into provocation and insults that went too far.	provoke or challenge (someone) with insulting remarks	the crowd taunted him about his marriage split.	provoke, insult, tease, chaff, torment, goad, ridicule, deride, mock, heckle
casuistry	Looks like case-try. The lawyers try to twist cases to suit their specious arguments–a form of casuistry.	the use of clever but unsound reasoning, especially in relation to moral questions; sophistry	the usual teenage casuistry about altruism always being ultimately selfish	sophistry, specious reasoning, speciousness, sophism, chicanery, quibbling, equivocation, fallaciousness
ancillary	Looks like anc (ancient) + illary (auxillary). These ancient tools are now only auxiliary to the modern machinery.	providing support to the primary activities or operation of an organization, system, etc	the development of ancillary services to support its products	additional, auxiliary, supporting, helping, assisting, extra, supplementary, supplemental, accessory, contributory, attendant
crotchety	Looks like crotch + ety. The new pants were too tight around his crotch, making him irritable all day.	irritable	He was tired and crotchety after a stressful work day	bad-tempered, peevish, irritable, irascible, touchy, testy, prickly, peppery, fractious, crusty, moody, cantankerous, curmudgeonly, waspish, shrewish, grumpy, grouchy
dreary	Looks like dream + weary. The long, dreary day felt like a weary dream, making me feel dull.	dull, bleak, and lifeless; depressing	the dreary routine of working, eating, and trying to sleep	dull, drab, uninteresting, flat, dry, banal, bland, insipid, colorless, lifeless, sterile, tedious, wearisome, boring, unexciting, unstimulating, uninspiring
certitude	From certain + tude	absolute certainty or conviction that something is the case	The question may never be answered with certitude.	certainty, confidence, sureness, positiveness, conviction, reliability, assuredness, assurance
canvass	Looks like canvas. The politician canvassed the neighborhood like tossing across a canvas, covering every corner to poll votes and opinions.	solicit votes from (electors in a constituency)try to obtain; request question (someone) in order to ascertain their opinion propose (an idea or plan) for discussion	in each ward, two workers canvassed some 2,000 votersthey promised to canvass all member clubs for their views.they're canvassing support among shareholdersearly retirement was canvassed as a solution to the problem of unemployment.	campaign, electioneer, solicit votes, drum up support poll, question, ask, survey, interview seek, try to obtain, make a pitch for propose, suggest, submit, offer, air; discuss, debate, consider
plight	Looks like p-light. My room has a problematic light, making me struggle to focus on studying. What a predicament.	a dangerous, difficult, or otherwise unfortunate situation	We must direct our efforts toward relieving the plight of children living in poverty.	predicament, unfortunate/difficult situation, trouble, difficulty, mess, extremity, bind
libel	Looks like label. The false labels on the article are defamatory lies that could defame her reputation.	make a false and typically malicious statement about	she alleged the magazine had libeled her	defame, malign, slander, traduce, smear, besmirch, tarnish, taint
allay	Looks like a-lay. She lays a comforting hand on his shoulder, calming and lulling his anxiety.	diminish or put at rest (fear, suspicion, or worry)relieve or alleviate (pain or hunger)	the report attempted to educate the public and allay fearssome stale figs partly allayed our hunger.	reduce, diminish, decrease, lessen, assuage, alleviate, ease, relieve, soothe, soften, dull, cushion, mollify, moderate, calm, lull, temper, mitigate, palliate, blunt, deaden, abate
misgiving	Looks like mis (not) + giving. She worried about not giving the right present to her friend, feeling constant qualm.	a feeling of doubt or apprehension about the outcome or consequences of something	I felt a sense of misgiving at the prospect of retirement.	qualm, doubt, reservation, scruple; trepidation, skepticism, worry, unease, uneasiness, anxiety, apprehension, uncertainty
apocryphal	Looks like apple-cry-phal. The story about an apple crying in the garden might be fictitious, but everyone believes it as if it were true.	fictitious although widely circulated as true	The apocryphal story about the haunted house has been told for generations, but there’s no evidence to support it.	fictitious, spurious, doubtful
demarcate	Looks like de-mark-ate (separate). The marker was used to clearly separate and define the boundaries of the property.	set the boundaries of; separate	The new map demarcates the boundaries between the two countries more clearly.	delineate, distinguish, define
epithet	"Sounds like ""epic tit."" He earned the epic title of ""The Brave,"" a fitting nickname for his courage."	a descriptive phrase expressing a characteristic of the person or thing mentioned	Alexander the Great earned his epithet because of his vast empire-building conquests.	sobriquet, nickname, byname, title, name, label, tag
exuberant	From Latin “ex” (out of) + “uber” (fruitful). The ex-Uber driver never ranted; he always seems ebullient and lively.	full of energy, excitement, and cheerfulness	The crowd was exuberant during the concert, dancing and singing along with every song.	ebullient, lively, spirited
inalienable	From Latin in (not) + alienare (to transfer). Freedom is an inalienable right, something that cannot be taken away.	Not subject to being taken away or transferred	Freedom of speech is an inalienable right.	Absolute, inviolable, inherent
jubilation	Sounds like ruby-late-tion. Although she received the ruby late into her retirement, she still showed rejoicing like a child.	great happiness and exultation	There was jubilation in the streets after the team won the championship.	exultation, triumph, joy, joyousness, rejoicing, elation, euphoria, ecstasy, rapture, transports of delight, glee, gleefulness, exuberance
nomenclature	From Latin “nomen” (name) + “calare” (to call). The naming of the new invention followed strict nomenclature; it has to be called by a correct name.	the devising or choosing of names for things	The scientific community agreed on a new nomenclature for the recently discovered species.	terminology, classification, vocabulary
olfactory	"Looks like ""old factory."" The old factory had a strong smell, reminding workers of its olfactory history."	relating to the sense of smell	The olfactory senses are closely linked to memory, which is why certain smells can evoke strong recollections.	aromatic, scented, fragrant
peregrination	"Sounds like ""pair of grins."" The pair of grins on their faces showed how much they enjoyed their long journey across the world."	a long journey, especially one made on foot	Their peregrination across the continent was filled with adventures and challenges.	expedition, trek, journey, crossing, excursion, passage, pilgrimage, safari, traversing, trip, voyage
sepulchral	"Sounds like ""sepia."" The sepia tone of the tomb photo made it look gloomy and funereal."	relating to a tomb or interment; gloomy, dismal	The sepulchral atmosphere of the abandoned mansion made it feel like a place of sorrow and loss.	gloomy, dismal, lugubrious, somber, melancholy, melancholic, sad, sorrowful, mournful, doleful, mirthless, cheerless, joyless, funereal, dismal, dolorous
stipulation	Looks like stipend + condition. To receive stipend, the condition is you teach at least two classes this semester.	a condition or requirement that is specified or demanded	The contract included a stipulation that the project must be completed within six months.	condition, precondition, provision, prerequisite, requisite, specification; demand, requirement
noisome	From Middle English “noysome” (harmful, annoying). The noise coming from the trash was accompanied by a noisome, repugnant smell that made everyone cover their noses.	having an extremely offensive smell	The noisome garbage dump was a serious health hazard for the nearby residents.	foul, repugnant, putrid
